
CO2 (ppm),Temperature (*C),Humidity (%),,Date,Time
438,32.38,59.6, ,10/12/2019, 10:41:10 PM
444,32.36,59.8, ,10/12/2019, 10:46:08 PM
500,31.08,58.8, ,10/13/2019, 1:44:11 AM
481,31.11,58.7, ,10/13/2019, 1:54:02 AM
491,30.63,61.0, ,10/13/2019, 2:53:27 AM
484,30.44,62.0, ,10/13/2019, 2:58:23 AM
484,30.36,62.8, ,10/13/2019, 3:52:48 AM
461,30.04,61.9, ,10/13/2019, 5:21:54 AM
447,30.08,62.3, ,10/13/2019, 5:31:49 AM
507,30.75,62.1, ,10/13/2019, 7:40:29 AM
786,31.33,62.7, ,10/13/2019, 8:20:07 AM
648,32.17,59.1, ,10/13/2019, 8:54:44 AM
679,33.72,56.7, ,10/13/2019, 10:36:41 AM
566,34.77,53.7, ,10/13/2019, 11:16:13 AM
523,36.18,56.2, ,10/13/2019, 12:50:06 PM
482,36.97,54.3, ,10/13/2019, 2:04:20 PM
496,37.12,53.2, ,10/13/2019, 2:33:50 PM
495,36.39,56.7, ,10/13/2019, 3:08:24 PM
505,36.42,56.6, ,10/13/2019, 3:13:21 PM
490,35.36,58.7, ,10/13/2019, 5:06:59 PM
603,34.98,59.4, ,10/13/2019, 6:21:08 PM
578,34.87,59.5, ,10/13/2019, 6:31:00 PM
610,34.63,61.1, ,10/13/2019, 7:10:34 PM
586,34.46,60.2, ,10/13/2019, 7:35:17 PM
588,34.36,60.2, ,10/13/2019, 8:04:54 PM
451,33.93,62.6, ,10/13/2019, 9:38:50 PM
442,33.72,63.9, ,10/13/2019, 9:48:45 PM
436,33.43,64.0, ,10/13/2019, 10:03:34 PM
444,32.22,65.5, ,10/14/2019, 2:50:22 AM
429,31.81,62.6, ,10/14/2019, 2:55:17 AM
395,31.09,68.8, ,10/14/2019, 3:59:34 AM
409,31.29,68.2, ,10/14/2019, 4:14:25 AM
425,31.29,68.7, ,10/14/2019, 4:29:15 AM
434,30.98,68.2, ,10/14/2019, 5:48:24 AM
445,30.82,68.3, ,10/14/2019, 5:53:20 AM
440,30.91,68.3, ,10/14/2019, 5:58:20 AM
494,31.45,67.7, ,10/14/2019, 6:13:07 AM
538,32.85,66.4, ,10/14/2019, 10:45:08 AM
531,32.66,66.2, ,10/14/2019, 10:59:57 AM
499,33.45,65.8, ,10/14/2019, 11:44:29 AM
442,34.23,64.4, ,10/14/2019, 12:04:14 PM
470,35.76,61.9, ,10/14/2019, 12:58:37 PM
464,35.52,58.6, ,10/14/2019, 4:21:23 PM
696,35.21,60.7, ,10/14/2019, 4:46:06 PM
507,33.92,64.3, ,10/14/2019, 7:09:30 PM
586,33.69,64.4, ,10/14/2019, 7:44:07 PM
462,33.44,65.0, ,10/14/2019, 8:08:50 PM
468,33.00,66.6, ,10/14/2019, 8:38:29 PM
469,32.63,65.8, ,10/14/2019, 10:22:19 PM
464,32.46,66.1, ,10/14/2019, 10:32:15 PM
637,31.47,67.9, ,10/15/2019, 7:46:32 AM
395,32.99,61.1, ,10/15/2019, 10:14:59 AM
385,33.43,58.1, ,10/15/2019, 10:29:49 AM
380,35.21,51.5, ,10/15/2019, 11:24:15 AM
396,35.36,49.5, ,10/15/2019, 11:39:03 AM
404,37.04,52.1, ,10/15/2019, 12:28:28 PM
406,37.44,52.7, ,10/15/2019, 12:53:11 PM
460,36.31,56.5, ,10/15/2019, 2:22:07 PM
431,34.73,60.5, ,10/15/2019, 2:46:49 PM
408,34.47,65.4, ,10/15/2019, 2:56:45 PM
435,34.57,66.5, ,10/15/2019, 3:11:33 PM
683,35.12,65.4, ,10/15/2019, 4:25:42 PM
798,34.94,66.8, ,10/15/2019, 4:45:31 PM
562,32.95,66.0, ,10/15/2019, 8:08:16 PM
539,32.90,65.9, ,10/15/2019, 8:42:54 PM
508,32.72,66.6, ,10/15/2019, 9:22:28 PM
499,32.31,68.5, ,10/15/2019, 10:02:05 PM
469,32.17,67.9, ,10/15/2019, 10:26:48 PM
443,31.69,67.9, ,10/16/2019, 12:00:46 AM
453,31.45,68.4, ,10/16/2019, 12:45:19 AM
440,31.29,68.4, ,10/16/2019, 1:54:36 AM
438,31.22,68.4, ,10/16/2019, 2:14:26 AM
433,31.19,68.4, ,10/16/2019, 2:24:18 AM
440,31.08,68.2, ,10/16/2019, 3:13:49 AM
464,30.56,68.4, ,10/16/2019, 5:27:32 AM
519,31.11,66.2, ,10/16/2019, 6:26:57 AM
649,31.60,68.3, ,10/16/2019, 7:51:03 AM
649,31.90,69.1, ,10/16/2019, 8:20:46 AM
1036,33.00,66.5, ,10/16/2019, 9:30:02 AM
496,34.19,60.6, ,10/16/2019, 10:39:17 AM
419,35.01,56.9, ,10/16/2019, 11:04:00 AM
443,35.69,55.8, ,10/16/2019, 11:28:43 AM

1121,31.67,68.8, ,10/22/2019, 10:54:39 AM

970,32.14,66.1, ,10/22/2019, 10:59:36 AM

870,32.24,65.6, ,10/22/2019, 11:04:33 AM
931,32.87,64.1, ,10/22/2019, 11:09:30 AM
897,33.50,62.2, ,10/23/2019, 8:57:12 PM

890,32.82,63.7, ,10/23/2019, 9:02:08 PM

878,33.37,63.2, ,10/23/2019, 9:07:05 PM
879,33.18,62.8, ,10/23/2019, 9:12:02 PM
885,33.68,61.6, ,10/23/2019, 9:16:58 PM
869,33.54,61.9, ,10/24/2019, 2:23:04 AM

0,29.65,69.3, ,10/24/2019, 2:47:47 AM
0,30.56,66.6, ,10/24/2019, 2:52:44 AM
194,30.84,66.1, ,10/24/2019, 2:57:41 AM
340,30.90,65.3, ,10/24/2019, 3:02:38 AM
435,30.81,65.2, ,10/24/2019, 3:07:35 AM
429,30.85,64.9, ,10/24/2019, 3:12:31 AM
430,30.90,64.8, ,10/24/2019, 3:17:28 AM
448,30.90,64.8, ,10/24/2019, 3:22:25 AM
459,30.97,64.5, ,10/24/2019, 3:27:22 AM
456,30.97,64.5, ,10/24/2019, 3:32:19 AM
445,30.95,64.5, ,10/24/2019, 3:37:16 AM
452,30.91,64.5, ,10/24/2019, 3:42:12 AM
449,30.99,64.3, ,10/24/2019, 3:47:09 AM
460,30.94,64.2, ,10/24/2019, 3:52:06 AM
448,31.02,64.0, ,10/24/2019, 3:57:03 AM
453,30.98,64.0, ,10/24/2019, 4:02:00 AM
444,31.01,64.1, ,10/24/2019, 4:06:57 AM
443,31.05,64.0, ,10/24/2019, 4:11:54 AM
441,31.08,64.0, ,10/24/2019, 4:16:51 AM
454,30.90,64.4, ,10/24/2019, 4:21:48 AM
445,30.90,64.6, ,10/24/2019, 4:26:45 AM
439,30.84,64.7, ,10/24/2019, 4:31:41 AM
433,30.91,64.7, ,10/24/2019, 4:36:38 AM
441,30.84,65.0, ,10/24/2019, 4:41:35 AM
441,30.91,64.8, ,10/24/2019, 4:46:32 AM
445,30.91,64.9, ,10/24/2019, 4:51:29 AM
448,30.95,64.8, ,10/24/2019, 4:56:26 AM
442,30.98,64.8, ,10/24/2019, 5:01:23 AM
444,30.92,65.0, ,10/24/2019, 5:06:20 AM
451,30.97,64.8, ,10/24/2019, 5:11:17 AM
448,30.92,65.1, ,10/24/2019, 5:16:14 AM
435,30.92,65.1, ,10/24/2019, 5:21:11 AM
440,30.84,65.3, ,10/24/2019, 5:26:08 AM
437,30.85,65.4, ,10/24/2019, 5:31:05 AM
439,30.88,65.3, ,10/24/2019, 5:36:02 AM
443,30.90,65.3, ,10/24/2019, 5:40:59 AM
447,30.85,65.3, ,10/24/2019, 5:45:56 AM
502,30.99,66.1, ,10/24/2019, 5:50:53 AM
561,31.42,65.8, ,10/24/2019, 5:55:50 AM
745,31.50,66.1, ,10/24/2019, 6:00:47 AM
951,31.54,66.1, ,10/24/2019, 6:05:43 AM
973,31.56,66.0, ,10/24/2019, 6:10:40 AM
942,31.63,65.8, ,10/24/2019, 6:15:37 AM
815,31.35,64.7, ,10/24/2019, 6:20:33 AM
709,31.19,64.6, ,10/24/2019, 6:25:30 AM
553,31.21,64.5, ,10/24/2019, 6:30:27 AM
444,31.19,64.7, ,10/24/2019, 6:35:24 AM
447,31.21,64.7, ,10/24/2019, 6:40:21 AM
468,31.12,64.9, ,10/24/2019, 6:45:18 AM
449,31.09,65.3, ,10/24/2019, 6:50:15 AM
456,31.14,65.3, ,10/24/2019, 6:55:12 AM
470,31.14,65.6, ,10/24/2019, 7:00:09 AM
478,31.19,65.6, ,10/24/2019, 7:05:05 AM
466,31.12,65.8, ,10/24/2019, 7:10:02 AM
452,31.17,65.7, ,10/24/2019, 7:14:58 AM
442,31.24,65.9, ,10/24/2019, 7:19:55 AM
420,31.26,65.3, ,10/24/2019, 7:24:51 AM
402,31.25,65.8, ,10/24/2019, 7:29:48 AM
411,31.26,65.5, ,10/24/2019, 7:34:45 AM
398,31.32,65.7, ,10/24/2019, 7:39:42 AM
408,31.35,65.6, ,10/24/2019, 7:44:38 AM
402,31.38,65.7, ,10/24/2019, 7:49:35 AM
408,31.30,66.9, ,10/24/2019, 7:54:32 AM
408,31.30,66.2, ,10/24/2019, 7:59:28 AM
410,31.38,65.9, ,10/24/2019, 8:04:25 AM
413,31.38,65.9, ,10/24/2019, 8:09:22 AM
407,31.43,65.7, ,10/24/2019, 8:14:18 AM
411,31.50,65.6, ,10/24/2019, 8:19:15 AM
498,31.52,67.3, ,10/24/2019, 8:24:11 AM
691,31.69,68.2, ,10/24/2019, 8:29:08 AM
